px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
8.46292	0.243462	-3.04035	0.0287602	0	8.46292	0.243462	8.6	0.25	-3.00029	0	6.95329e-310
8.33451	0.238132	-3.02037	0.0210163	-0.00703	8.44818	0.251553	8.45	0.25	-3.00027	0	0.696592
8.30677	0.249646	-1.94394	0.0283671	0.00232538	8.56759	0.241943	8.45	0.25	0	0	64.919
8.24895	0.24713	-1.8948	0.014153	-0.00927661	8.45582	0.253997	8.45	0.25	0	0	2.26197
8.15806	0.246292	-1.8703	0.00969155	-0.0123277	8.42544	0.254042	8.35	0.25	-1.81979	0	0.831805
8.08533	0.247238	-1.82096	-0.000114076	-0.0189756	8.23962	0.24916	8.25	0.25	-1.81978	0	1.2598
7.88488	0.244064	-2.81939	-0.0036074	-0.0182717	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994	22.3849
7.75912	0.236033	-2.79105	0.00661101	-0.00475844	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993	0.634445
7.59467	0.229605	-3.01408	0.0147	0.00418033	7.61269	0.155818	7.7	0.15	-2.99982	0	1.28751
7.45955	0.214399	-2.98489	0.0342411	0.0229758	7.54016	0.159641	7.55	0.15	-2.99982	0	0.505045
7.36505	0.189871	-2.44328	0.0641412	0.0470926	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239	6.57633
7.24923	0.139581	-2.40823	0.118581	0.0921895	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823	1.14409
7.09718	0.109435	-2.62194	0.136716	0.102743	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507	1.36344
6.97158	0.0454016	-2.5994	0.189862	0.142749	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499	0.988408
6.87953	-0.0228155	-2.17821	0.248524	0.190313	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898	4.59936
6.77796	-0.114162	-2.17903	0.318044	0.240348	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897	1.59549
6.67426	-0.182661	-2.19873	0.360909	0.266843	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075	0.809229
6.58222	-0.287141	-2.22543	0.433067	0.318973	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075	2.0678
6.54783	-0.384243	-1.73474	0.52559	0.414735	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769	8.58647
6.48464	-0.482976	-1.77057	0.594706	0.460215	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769	1.94999
6.45262	-0.591084	-1.38883	0.70417	0.570151	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498	8.44841
6.39602	-0.738737	-1.5217	0.817795	0.652181	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494	5.90871
6.31327	-0.85118	-1.78666	0.867729	0.649694	6.38626	-1.15695	6.35	-1.15	-1.81897	-1.81898	4.08202
6.24199	-1.00698	-1.95017	0.964603	0.714529	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896	3.49029
6.30135	-1.23502	-1.44688	1.33618	1.22831	6.43125	-1.48148	6.3	-1.45	0.909739	-3.63894	47.5102
6.28652	-1.40029	-1.66694	1.46334	1.29131	6.36328	-1.65656	6.35	-1.65	0.909727	-3.63891	4.17988
6.26221	-1.48374	-1.63646	1.47728	1.19205	6.3228	-1.81431	6.3	-1.8	-0.999494	-2.9985	5.30013
6.24476	-1.66066	-1.91716	1.56643	1.21339	6.24641	-1.95075	6.25	-1.95	-0.999489	-2.99847	4.97099
6.27297	-1.89283	-2.44648	1.75739	1.41619	6.31851	-2.10969	6.3	-2.1	0.999984	-2.99994	10.4827
6.30128	-2.06537	-2.60553	1.83422	1.41399	6.34644	-2.23829	6.35	-2.25	0.999979	-2.99994	1.83525
6.30415	-2.16761	-2.30936	1.84127	1.29257	6.32593	-2.40018	6.35	-2.4	0	-2.72613	4.69834
6.33348	-2.35238	-2.48716	1.89101	1.25653	6.34927	-2.55175	6.35	-2.55	0	-2.72611	2.33844
6.38127	-2.52216	-2.65412	1.95412	1.25137	6.43125	-2.71878	6.4	-2.7	0.909499	-2.72851	1.12772
6.42926	-2.70395	-2.77773	1.99586	1.21434	6.43257	-2.84245	6.45	-2.85	0.909503	-2.72851	1.15156
6.44691	-2.81102	-2.46263	2.00981	1.13471	6.46536	-3.00452	6.45	-3	0	-2.99754	4.10592
6.47756	-2.98355	-2.6003	2.01896	1.07608	6.44119	-3.14955	6.45	-3.15	0	-2.99754	1.78525
6.5355	-3.14351	-2.70742	2.05871	1.05518	6.52249	-3.32007	6.5	-3.3	0.910402	-2.7312	0.785403
6.58441	-3.32605	-2.81035	2.07289	1.00365	6.5453	-3.45745	6.55	-3.45	0.910402	-2.7312	1.18934
6.66674	-3.49175	-2.9952	2.12068	1.00207	6.6358	-3.59197	6.65	-3.6	1.81722	-2.72583	0.774267
6.74853	-3.66386	-3.05919	2.15354	0.974839	6.76011	-3.75457	6.75	-3.75	1.81721	-2.72581	0.506314
6.81327	-3.78962	-2.78675	2.18511	0.937095	6.83625	-3.92723	6.8	-3.9	0.907988	-2.72396	2.09967
6.88491	-3.95603	-2.85128	2.20192	0.895995	6.85997	-4.05805	6.85	-4.05	0.907976	-2.72393	0.709273
6.95027	-4.07627	-2.65073	2.23052	0.865529	6.86943	-4.18507	6.9	-4.2	0.909334	-2.72801	1.3132
7.01061	-4.23815	-2.70509	2.23292	0.812735	6.94332	-4.34473	6.95	-4.35	0.90933	-2.72799	1.03159
7.05775	-4.32871	-2.25937	2.25498	0.774326	7.05156	-4.49706	7	-4.45	0.910054	-1.8201	4.76129
7.10993	-4.46266	-2.29464	2.25852	0.7287	7.04099	-4.55018	7.05	-4.55	0.910054	-1.8201	0.790891
7.18341	-4.57438	-2.32496	2.28464	0.712503	7.10252	-4.67934	7.1	-4.7	0.908302	-2.72489	0.311246
7.23299	-4.72571	-2.37208	2.26838	0.646801	7.14735	-4.86125	7.15	-4.85	0.908297	-2.72489	1.61811
7.34512	-4.87708	-2.79282	2.29461	0.642513	7.3138	-5.05204	7.25	-5	1.81907	-2.72861	3.70704
7.40785	-5.04158	-2.82402	2.27297	0.574514	7.30424	-5.15404	7.35	-5.15	1.81907	-2.72861	1.48288
7.47905	-5.15952	-2.67034	2.28184	0.544161	7.29446	-5.23429	7.4	-5.3	0.908194	-2.7246	1.06636
7.53555	-5.32744	-2.71186	2.25017	0.469916	7.44737	-5.45308	7.45	-5.45	0.90819	-2.72457	1.53143
7.62163	-5.45367	-2.68682	2.26234	0.452321	7.63082	-5.61863	7.55	-5.55	1.81974	-1.81974	0.387267
7.69294	-5.59883	-2.71042	2.25197	0.410137	7.64356	-5.66706	7.65	-5.65	1.81972	-1.81972	0.467136
7.76456	-5.71223	-2.59695	2.25861	0.389418	7.60376	-5.74774	7.7	-5.8	0.90983	-2.72951	0.607974
7.81825	-5.86673	-2.62423	2.22851	0.328457	7.7342	-5.95374	7.75	-5.95	0.909826	-2.72948	0.966562
7.93858	-6.01996	-3.16091	2.25036	0.345014	7.82165	-6.06822	7.85	-6.1	1.9986	-2.9979	6.36847
8.01181	-6.17578	-3.18375	2.23056	0.300969	7.95703	-6.24328	7.95	-6.25	1.99858	-2.99787	0.502878
8.09428	-6.30189	-2.92019	2.23151	0.276084	8.17338	-6.44684	8.05	-6.35	1.81738	-1.81739	1.99123
8.18273	-6.43776	-2.92498	2.23446	0.261596	8.15891	-6.45335	8.15	-6.45	1.81737	-1.81737	0.0540943
8.25636	-6.55116	-2.74841	2.23721	0.245307	8.08628	-6.51855	8.2	-6.6	0.909293	-2.72787	0.944627
8.32009	-6.69941	-2.76322	2.21537	0.203808	8.25411	-6.74791	8.25	-6.75	0.909293	-2.72787	0.451216
8.40412	-6.82173	-2.77438	2.22142	0.19826	8.25648	-6.78122	8.35	-6.85	1.81994	-1.81993	0.275348
8.48266	-6.95089	-2.77327	2.21904	0.182816	8.44494	-6.95805	8.45	-6.95	1.81993	-1.81993	0.0914043
8.55155	-7.05573	-2.70286	2.22077	0.173252	8.39359	-7.01743	8.5	-7.1	1.00006	-3.00018	0.390069
8.60683	-7.19143	-2.71929	2.19725	0.135519	8.54925	-7.24433	8.55	-7.25	1.00006	-3.00018	0.407138
8.7168	-7.33931	-3.12416	2.20973	0.149754	8.64403	-7.39047	8.65	-7.4	1.99807	-2.99712	3.90328
8.78582	-7.49101	-3.14103	2.18759	0.11465	8.73559	-7.5421	8.75	-7.55	1.99808	-2.99712	0.3432
8.83962	-7.59983	-2.6562	2.17118	0.0767062	8.87176	-7.71912	8.8	-7.65	0.909955	-1.8199	5.6441
8.90008	-7.73591	-2.66055	2.15327	0.0506322	8.84538	-7.75497	8.85	-7.75	0.909946	-1.81988	0.215442
8.97772	-7.86028	-2.78504	2.15419	0.0511594	8.88333	-7.88636	8.9	-7.9	0.999086	-2.9973	0.433953
9.0263	-8.00044	-2.7975	2.12631	0.0153451	8.95966	-8.0381	8.95	-8.05	0.999095	-2.9973	0.383362
9.06073	-8.09532	-2.38587	2.10581	-0.018776	8.8564	-8.01424	9	-8.15	0.909309	-1.8186	4.1731
9.10766	-8.22288	-2.3931	2.08437	-0.0425501	9.05896	-8.24314	9.05	-8.25	0.909301	-1.81859	0.179014
9.1862	-8.35751	-2.67125	2.08687	-0.0315541	9.17781	-8.47056	9.1	-8.4	1.0004	-3.00119	1.76011
9.22212	-8.50064	-2.69166	2.05155	-0.0708278	9.15332	-8.54857	9.15	-8.55	1.00038	-3.00117	0.460425
9.26064	-8.61151	-2.40067	2.02786	-0.102362	9.22922	-8.6898	9.2	-8.65	0.909508	-1.819	2.07614
9.29717	-8.74588	-2.41249	1.99975	-0.128325	9.24541	-8.76863	9.25	-8.75	0.9095	-1.81899	0.206219
9.42868	-8.95121	-3.44476	2.04018	-0.0459662	9.37748	-9.00609	9.35	-8.95	1.99965	-3.99928	24.6804
9.48667	-9.12234	-3.46268	2.01602	-0.0715005	9.44703	-9.15328	9.45	-9.15	1.99964	-3.99928	0.170743
9.50893	-9.24236	-2.98386	1.97332	-0.136305	9.50096	-9.25642	9.5	-9.25	0.999584	-1.99917	5.90282
9.56252	-9.37446	-2.9729	1.96612	-0.136631	9.54157	-9.35195	9.55	-9.35	0.999584	-1.99917	0.0503835
9.5932	-9.48939	-2.74349	1.94314	-0.162969	9.47534	-9.42627	9.55	-9.5	0	-3.00023	1.52514
9.61474	-9.63438	-2.76023	1.90903	-0.193061	9.54779	-9.64959	9.55	-9.65	0	-3.0002	0.302277
9.67519	-9.78557	-2.9477	1.90874	-0.175641	9.69942	-9.88416	9.6	-9.8	0.999005	-2.997	0.974087
9.7023	-9.93415	-2.95545	1.88192	-0.196473	9.64606	-9.9341	9.65	-9.95	0.998995	-2.997	0.191945
9.71706	-10.056	-2.62765	1.84628	-0.238469	9.60087	-9.96395	9.7	-10.05	0.909855	-1.81969	2.85161
9.75565	-10.1819	-2.60309	1.83851	-0.232067	9.73801	-10.1396	9.75	-10.15	0.909847	-1.81969	0.116567
9.79732	-10.3185	-2.65763	1.83038	-0.226914	9.92627	-10.4745	9.75	-10.3	0	-3.00065	0.51626
9.80848	-10.4602	-2.6758	1.79886	-0.250179	9.75524	-10.4732	9.75	-10.45	0	-3.00063	0.192512
9.84782	-10.6148	-2.83237	1.79478	-0.231337	9.71825	-10.5087	9.8	-10.6	0.90817	-2.72451	1.0112
9.87407	-10.7657	-2.82865	1.77738	-0.236626	9.85048	-10.7526	9.85	-10.75	0.908161	-2.72448	0.039906
9.88458	-10.8957	-2.59268	1.74468	-0.270685	9.88465	-10.9383	9.85	-10.9	0	-2.73074	1.38657
9.8877	-11.0438	-2.6047	1.7128	-0.290201	9.83614	-11.041	9.85	-11.05	0	-2.73073	0.16282
9.90661	-11.1788	-2.66886	1.70132	-0.283416	9.83952	-11.1692	9.85	-11.2	0	-2.99965	0.150416
9.89837	-11.3277	-2.7003	1.66451	-0.309598	9.84568	-11.3496	9.85	-11.35	0	-2.99961	0.217637
9.91174	-11.4709	-2.75463	1.65113	-0.304616	9.87961	-11.5637	9.85	-11.5	0	-2.99843	0.128427
9.89515	-11.6218	-2.78322	1.61284	-0.331214	9.83206	-11.6307	9.85	-11.65	0	-2.99843	0.258837
9.84709	-11.7087	-2.22778	1.52796	-0.449169	9.85311	-11.8523	9.8	-11.75	-1.0003	-2.00061	10.7658
9.81412	-11.8339	-2.26207	1.48223	-0.475817	9.74928	-11.8442	9.75	-11.85	-1.00029	-2.00059	0.27419
9.80472	-11.9566	-2.35709	1.46554	-0.461166	9.69694	-11.9706	9.7	-12	-1.0004	-3.00119	0.393971
9.74762	-12.104	-2.43548	1.40355	-0.505801	9.65354	-12.1497	9.65	-12.15	-1.00039	-3.00116	0.728123
9.70426	-12.2081	-2.23304	1.34032	-0.569876	9.72311	-12.3964	9.6	-12.25	-0.999885	-1.99981	2.4007
9.64	-12.3353	-2.29391	1.2804	-0.605388	9.54859	-12.3478	9.55	-12.35	-0.999884	-1.99979	0.538207
9.56276	-12.4062	-1.97163	1.17672	-0.724611	9.39039	-12.3902	9.45	-12.45	-1.99803	-1.99805	6.1197
9.47486	-12.5241	-2.07001	1.10096	-0.768703	9.36086	-12.5501	9.35	-12.55	-1.99804	-1.99804	0.882887
9.42121	-12.6305	-2.10625	1.06376	-0.759102	9.34456	-12.7106	9.3	-12.65	-0.909773	-1.81953	0.115703
9.3201	-12.7516	-2.19967	0.989885	-0.794303	9.22134	-12.7613	9.25	-12.75	-0.909773	-1.81954	0.633301
9.18521	-12.8021	-1.89845	0.800028	-1.03631	9.15326	-13.0031	9.05	-12.85	-3.99257	-1.99629	15.5293
9.03013	-12.9155	-2.12545	0.691687	-1.09639	8.84161	-12.9519	8.85	-12.95	-3.99253	-1.99627	2.4435
8.9021	-12.9837	-2.16486	0.58177	-1.17222	8.71632	-12.9613	8.75	-13	-1.8213	-0.910651	1.24675
8.76011	-13.0585	-2.26683	0.495594	-1.1937	8.66358	-13.0431	8.65	-13.05	-1.8213	-0.910651	0.590434
8.6137	-13.1084	-2.38327	0.378852	-1.28503	8.54518	-13.1702	8.5	-13.1	-2.997	-0.999005	1.68823
8.45826	-13.1635	-2.50323	0.30034	-1.29626	8.35763	-13.1557	8.35	-13.15	-2.997	-0.998995	0.642537
8.26025	-13.1891	-2.74207	0.157002	-1.41542	8.22926	-13.1698	8.2	-13.15	-2.72741	0	3.26678
8.09277	-13.2016	-2.77875	0.06963	-1.42385	8.03583	-13.1513	8.05	-13.15	-2.72742	0	0.315085
7.94479	-13.2019	-2.73668	-0.00680817	-1.41576	7.82914	-13.0525	7.9	-13.15	-2.72986	0	0.467876
7.78851	-13.1915	-2.74877	-0.0885162	-1.41909	7.76538	-13.1647	7.75	-13.15	-2.72986	0	0.067339
7.74928	-13.2121	-2.15891	-0.0905376	-1.28613	7.66146	-13.3079	7.6	-13.2	-2.9979	-0.999304	10.0554
7.57984	-13.2262	-2.32181	-0.133241	-1.25412	7.44786	-13.2517	7.45	-13.25	-2.9979	-0.999304	1.19993
7.44652	-13.2023	-2.32267	-0.202864	-1.25118	7.21108	-13.0985	7.3	-13.25	-2.72846	0	0.622377
7.26747	-13.1993	-2.45773	-0.243729	-1.21503	7.16011	-13.2382	7.15	-13.25	-2.72844	0	0.888251
7.10189	-13.1388	-2.76562	-0.330947	-1.26424	6.88472	-12.9588	7	-13.2	-2.99784	0.999284	3.10078
6.93036	-13.1121	-2.86044	-0.367825	-1.23165	6.84891	-13.1493	6.85	-13.15	-2.99784	0.999284	0.545468
6.7969	-13.0696	-2.75015	-0.419907	-1.2065	6.77424	-13.2337	6.7	-13.1	-2.72787	0.909275	0.597861
6.62318	-13.026	-2.82653	-0.458346	-1.1733	6.55759	-13.0679	6.55	-13.05	-2.72787	0.909284	0.420418
6.53547	-13.0057	-2.29198	-0.48453	-1.09809	6.40137	-13.0799	6.4	-13.05	-2.72678	0	6.92083
6.36472	-12.9795	-2.40089	-0.496761	-1.04219	6.26174	-13.0534	6.25	-13.05	-2.72678	0	1.10849
6.25025	-12.9247	-2.33978	-0.544343	-1.02759	6.10143	-13.0076	6.1	-13	-2.72966	0.909888	0.285995
6.07169	-12.8889	-2.45556	-0.546888	-0.96509	5.94198	-12.9494	5.95	-12.95	-2.72963	0.90988	1.40634
5.91278	-12.7751	-3.01615	-0.619847	-1.01958	5.79854	-12.8478	5.8	-12.85	-2.99777	1.99851	7.32607
5.74415	-12.7055	-3.0905	-0.634082	-0.976431	5.65107	-12.7365	5.65	-12.75	-2.99778	1.99852	0.65557
5.63846	-12.657	-2.58757	-0.647868	-0.902753	5.50547	-12.5721	5.55	-12.7	-1.81798	0.908995	6.68912
5.49222	-12.5924	-2.63163	-0.664912	-0.865603	5.43839	-12.652	5.45	-12.65	-1.81799	0.908995	0.432058
5.35568	-12.4769	-2.89322	-0.720615	-0.884245	5.27506	-12.4782	5.3	-12.55	-2.72627	1.81753	1.45339
5.19598	-12.3975	-2.94002	-0.729271	-0.838554	5.1307	-12.4684	5.15	-12.45	-2.72625	1.8175	0.623935
5.08588	-12.3093	-2.78063	-0.762894	-0.818108	5.04446	-12.3808	5.05	-12.35	-1.8199	1.81989	0.617934
4.95847	-12.2152	-2.79907	-0.789344	-0.79699	4.92985	-12.2499	4.95	-12.25	-1.81991	1.8199	0.134834
4.85221	-12.1031	-2.87072	-0.830831	-0.799855	4.75061	-11.9803	4.85	-12.15	-1.99928	1.99929	0.365887
4.75356	-12.0098	-2.86164	-0.861109	-0.789609	4.75915	-12.0666	4.75	-12.05	-1.99928	1.99928	0.178626
4.65082	-11.8824	-2.93173	-0.907356	-0.79494	4.69113	-11.9084	4.7	-11.9	-0.908236	2.72471	0.140604
4.58477	-11.7463	-2.8983	-0.974168	-0.822507	4.64378	-11.7442	4.65	-11.75	-0.908231	2.7247	0.23534
4.53602	-11.6507	-2.47689	-1.02397	-0.822343	4.59746	-11.6205	4.6	-11.65	-0.909847	1.81971	3.41533
4.49245	-11.536	-2.44349	-1.08454	-0.8414	4.54975	-11.5706	4.55	-11.55	-0.909843	1.81969	0.265172
4.36267	-11.3371	-3.41859	-1.10755	-0.822014	4.47442	-11.3673	4.5	-11.35	-1.0008	4.0032	19.6901
4.33982	-11.1679	-3.39305	-1.19042	-0.871857	4.44059	-11.1496	4.45	-11.15	-1.0008	4.00321	0.703317
4.349	-11.063	-2.60334	-1.2761	-0.9209	4.43713	-11.024	4.45	-11.05	0	1.81614	13.0807
4.35599	-10.9177	-2.5836	-1.36259	-0.964008	4.45136	-10.93	4.45	-10.95	0	1.81612	0.597233
4.33225	-10.7713	-2.65336	-1.41704	-0.964388	4.44745	-10.786	4.45	-10.8	0	2.72555	0.231829
4.35759	-10.6221	-2.64488	-1.50512	-1.00612	4.45788	-10.6457	4.45	-10.65	0	2.72554	0.660884
4.35579	-10.4783	-2.67043	-1.56133	-1.00639	4.46329	-10.5756	4.45	-10.5	0	2.729	0.255144
4.38342	-10.3283	-2.6769	-1.63709	-1.03044	4.44057	-10.3382	4.45	-10.35	0	2.72898	0.210317
4.40665	-10.1849	-2.66442	-1.70143	-1.04009	4.51895	-10.2367	4.5	-10.2	0.908962	2.72687	0.168683
4.46632	-10.0336	-2.69061	-1.78872	-1.07508	4.54925	-10.0439	4.55	-10.05	0.908954	2.72685	0.439821
4.5007	-9.88471	-2.77735	-1.83845	-1.05774	4.63224	-9.9707	4.6	-9.9	0.909756	2.72927	0.51552
4.57318	-9.73506	-2.80575	-1.91859	-1.08313	4.63755	-9.74952	4.65	-9.75	0.909752	2.72926	0.268977
4.60189	-9.56363	-3.00903	-1.93171	-1.00806	4.60757	-9.4335	4.7	-9.6	0.90859	2.72578	1.88928
4.68634	-9.41578	-3.02133	-2.00347	-1.02686	4.74589	-9.4609	4.75	-9.45	0.908586	2.72576	0.313316
4.77304	-9.27534	-3.00012	-2.07336	-1.04577	4.89179	-9.39473	4.85	-9.3	1.81967	2.72952	0.366892
4.8853	-9.12742	-3.05264	-2.14985	-1.06707	4.94849	-9.13867	4.95	-9.15	1.81967	2.72951	0.259379
4.97448	-9.00182	-3.04896	-2.20669	-1.0734	4.95209	-8.96272	5	-9.05	0.999884	1.99977	0.0336745
5.05459	-8.89959	-2.99073	-2.25497	-1.06782	5.04121	-8.94979	5.05	-8.95	0.999874	1.99974	0.166728
5.12756	-8.76878	-3.02148	-2.26407	-0.979731	5.20806	-8.88942	5.15	-8.8	1.81805	2.72708	1.87293
5.24765	-8.63963	-3.05035	-2.32245	-0.984384	5.26887	-8.63564	5.25	-8.65	1.81803	2.72705	0.0313309
